implementation,byte_value,time_ns,sample_id
AES_ct,0,1272.03,137
AES_big,0,218.86,138
AES_small,0,871.78,138
AES_ct,0,1362.55,138
AES_big,0,224.96,139
AES_small,0,873.05,139
AES_ct,0,1294.20,139
AES_big,0,219.43,140
AES_small,0,849.53,140
AES_ct,0,1271.44,140
AES_big,0,219.39,141
AES_small,0,851.90,141
AES_ct,0,1321.20,141
AES_big,0,253.10,142
AES_small,0,871.40,142
AES_ct,0,1312.62,142
AES_big,0,225.76,143
AES_small,0,869.10,143
AES_ct,0,1287.88,143
AES_big,0,218.88,144
AES_small,0,848.77,144
AES_ct,0,1296.64,144
AES_big,0,225.42,145
AES_small,0,881.70,145
AES_ct,0,1337.26,145
AES_big,0,225.66,146
AES_small,0,878.60,146
AES_ct,0,1313.93,146
AES_big,0,225.61,147
AES_small,0,865.13,147
AES_ct,0,1290.42,147
AES_big,0,225.17,148
AES_small,0,867.56,148
AES_ct,0,1358.54,148
AES_big,0,230.11,149
AES_small,0,844.21,149
AES_ct,0,1267.60,149
AES_big,0,219.32,150
AES_small,0,849.93,150
AES_ct,0,1271.97,150
AES_big,0,224.26,151
AES_small,0,862.81,151
AES_ct,0,1301.97,151
AES_big,0,230.64,152
AES_small,0,873.22,152
AES_ct,0,1280.01,152
AES_big,0,219.62,153
AES_small,0,844.28,153
AES_ct,0,1274.62,153
AES_big,0,224.03,154
AES_small,0,872.27,154
AES_ct,0,1316.64,154
AES_big,0,226.61,155
AES_small,0,869.63,155
AES_ct,0,1362.36,155
AES_big,0,225.70,156
AES_small,0,879.59,156
AES_ct,0,1304.96,156
AES_big,0,226.19,157
AES_small,0,878.50,157
AES_ct,0,1314.40,157
AES_big,0,225.02,158
AES_small,0,878.88,158
AES_ct,0,1317.90,158
AES_big,0,224.14,159
AES_small,0,876.47,159
AES_ct,0,1280.43,159
AES_big,0,219.91,160
AES_small,0,867.62,160
AES_ct,0,1308.68,160
AES_big,0,225.57,161
AES_small,0,874.11,161
AES_ct,0,1272.68,161
AES_big,0,243.43,162
AES_small,0,898.45,162
AES_ct,0,1306.84,162
AES_big,0,224.96,163
AES_small,0,878.77,163
AES_ct,0,1298.80,163
AES_big,0,223.78,164
AES_small,0,854.09,164
AES_ct,0,1272.03,164
AES_big,0,219.15,165
AES_small,0,847.10,165
AES_ct,0,1306.72,165
AES_big,0,222.57,166
AES_small,0,868.87,166
AES_ct,0,1313.36,166
AES_big,0,225.47,167
AES_small,0,870.47,167
AES_ct,0,1274.08,167
AES_big,0,219.11,168
AES_small,0,848.84,168
AES_ct,0,1276.40,168
AES_big,0,229.88,169
AES_small,0,892.79,169
AES_ct,0,1323.67,169
AES_big,0,226.88,170
AES_small,0,882.21,170
AES_ct,0,1309.84,170
AES_big,0,225.80,171
AES_small,0,857.66,171
AES_ct,0,1283.45,171
AES_big,0,219.75,172
AES_small,0,867.94,172
AES_ct,0,1349.44,172
AES_big,0,225.36,173
AES_small,0,870.90,173
AES_ct,0,1287.23,173
AES_big,0,219.34,174
AES_small,0,846.16,174
AES_ct,0,1283.87,174
AES_big,0,219.01,175
AES_small,0,852.07,175
AES_ct,0,1306.99,175
AES_big,0,223.42,176
AES_small,0,887.87,176
AES_ct,0,1293.01,176
AES_big,0,219.62,177
AES_small,0,857.87,177
AES_ct,0,1301.48,177
AES_big,0,224.22,178
AES_small,0,873.30,178
AES_ct,0,1305.89,178
AES_big,0,226.14,179
AES_small,0,877.08,179
AES_ct,0,1345.35,179
AES_big,0,223.95,180
AES_small,0,867.46,180
AES_ct,0,1311.55,180
AES_big,0,226.19,181
AES_small,0,869.44,181
AES_ct,0,1292.59,181
AES_big,0,225.74,182
AES_small,0,874.61,182
AES_ct,0,1298.00,182
AES_big,0,240.29,183
AES_small,0,849.28,183
AES_ct,0,1302.66,183
AES_big,0,221.29,184
AES_small,0,884.09,184
AES_ct,0,1308.04,184
AES_big,0,225.61,185
AES_small,0,881.56,185
AES_ct,0,1302.62,185
AES_big,0,260.68,186
AES_small,0,909.26,186
AES_ct,0,1327.72,186
AES_big,0,225.32,187
AES_small,0,872.96,187
AES_ct,0,1305.24,187
AES_big,0,224.64,188
AES_small,0,868.36,188
AES_ct,0,1313.51,188
AES_big,0,222.32,189
AES_small,0,843.96,189
AES_ct,0,1323.62,189
AES_big,0,226.59,190
AES_small,0,870.28,190
AES_ct,0,1286.72,190
AES_big,0,225.81,191
AES_small,0,880.88,191
AES_ct,0,1304.58,191
AES_big,0,225.74,192
AES_small,0,855.89,192
AES_ct,0,1274.62,192
AES_big,0,224.94,193
AES_small,0,882.17,193
AES_ct,0,1314.08,193
AES_big,0,225.47,194
AES_small,0,877.25,194
AES_ct,0,1311.27,194
AES_big,0,224.24,195
AES_small,0,857.87,195
AES_ct,0,1272.45,195
AES_big,0,218.92,196
AES_small,0,858.71,196
AES_ct,0,1314.27,196
AES_big,0,221.98,197
AES_small,0,871.57,197
AES_ct,0,1315.10,197
AES_big,0,224.66,198
AES_small,0,906.24,198
AES_ct,0,1293.08,198
AES_big,0,226.61,199
AES_small,0,874.19,199
AES_ct,0,1310.09,199
AES_big,1,217.99,0
AES_small,1,890.74,0
AES_ct,1,1316.81,0
AES_big,1,223.74,1
AES_small,1,870.07,1
AES_ct,1,1304.48,1
AES_big,1,221.65,2
AES_small,1,871.93,2
AES_ct,1,1301.27,2
AES_big,1,217.53,3
AES_small,1,887.53,3
AES_ct,1,1332.49,3
AES_big,1,223.16,4
AES_small,1,870.96,4
AES_ct,1,1271.99,4
AES_big,1,217.78,5
AES_small,1,857.26,5
AES_ct,1,1272.09,5
AES_big,1,217.47,6
AES_small,1,856.98,6
AES_ct,1,1320.71,6
AES_big,1,237.67,7
AES_small,1,871.68,7
AES_ct,1,1290.82,7
AES_big,1,216.77,8
AES_small,1,848.27,8
AES_ct,1,1280.43,8
AES_big,1,217.80,9
AES_small,1,856.14,9
AES_ct,1,1299.98,9
AES_big,1,222.91,10
AES_small,1,919.92,10
AES_ct,1,1297.45,10
AES_big,1,222.22,11
AES_small,1,890.97,11
AES_ct,1,1284.55,11
AES_big,1,217.40,12
AES_small,1,897.41,12
AES_ct,1,1294.45,12
AES_big,1,223.80,13
AES_small,1,861.97,13
AES_ct,1,1317.29,13
AES_big,1,216.75,14
AES_small,1,856.39,14
AES_ct,1,1272.01,14
AES_big,1,218.35,15
AES_small,1,846.47,15
AES_ct,1,1294.98,15
AES_big,1,222.97,16
AES_small,1,867.69,16
AES_ct,1,1307.18,16
AES_big,1,229.24,17
AES_small,1,907.90,17
AES_ct,1,1309.25,17
AES_big,1,223.86,18
AES_small,1,862.26,18
AES_ct,1,1312.14,18
AES_big,1,222.66,19
AES_small,1,883.20,19
AES_ct,1,1283.60,19
AES_big,1,217.09,20
AES_small,1,890.83,20
AES_ct,1,1279.80,20
AES_big,1,217.42,21
AES_small,1,853.20,21
AES_ct,1,1296.65,21
AES_big,1,222.21,22
AES_small,1,876.79,22
AES_ct,1,1297.72,22
AES_big,1,217.28,23
AES_small,1,849.41,23
AES_ct,1,1307.47,23
AES_big,1,216.85,24
AES_small,1,856.33,24
AES_ct,1,1297.47,24
AES_big,1,222.07,25
AES_small,1,873.87,25
AES_ct,1,1379.86,25
AES_big,1,216.20,26
AES_small,1,874.08,26
AES_ct,1,1313.77,26
AES_big,1,223.27,27
AES_small,1,902.23,27
AES_ct,1,1322.29,27
AES_big,1,222.62,28
AES_small,1,874.40,28
AES_ct,1,1303.10,28
AES_big,1,217.00,29
AES_small,1,850.82,29
AES_ct,1,1283.60,29
AES_big,1,216.92,30
AES_small,1,857.26,30
AES_ct,1,1312.99,30
AES_big,1,221.20,31
AES_small,1,866.82,31
AES_ct,1,1313.22,31
AES_big,1,221.20,32
AES_small,1,846.66,32
AES_ct,1,1277.94,32
AES_big,1,217.34,33
AES_small,1,854.90,33
AES_ct,1,1297.45,33
AES_big,1,221.22,34
AES_small,1,899.27,34
AES_ct,1,1315.29,34
AES_big,1,223.17,35
AES_small,1,873.47,35
AES_ct,1,1306.57,35
AES_big,1,223.99,36
AES_small,1,875.42,36
AES_ct,1,1286.00,36
AES_big,1,219.60,37
AES_small,1,886.62,37
AES_ct,1,1361.08,37
AES_big,1,224.28,38
AES_small,1,857.22,38
AES_ct,1,1276.02,38
AES_big,1,218.63,39
AES_small,1,848.63,39
AES_ct,1,1283.77,39
AES_big,1,241.76,40
AES_small,1,877.99,40
AES_ct,1,1325.54,40
AES_big,1,243.77,41
AES_small,1,876.34,41
AES_ct,1,1282.84,41
AES_big,1,217.04,42
AES_small,1,855.99,42
AES_ct,1,1284.13,42
AES_big,1,216.98,43
AES_small,1,883.22,43
AES_ct,1,1316.40,43
AES_big,1,228.08,44
AES_small,1,893.04,44
AES_ct,1,1314.78,44
AES_big,1,223.76,45
AES_small,1,875.10,45
AES_ct,1,1299.51,45
AES_big,1,217.36,46
AES_small,1,891.33,46
AES_ct,1,1307.24,46
AES_big,1,230.49,47
AES_small,1,865.01,47
AES_ct,1,1310.54,47
AES_big,1,217.87,48
AES_small,1,851.33,48
AES_ct,1,1281.64,48
AES_big,1,217.70,49
AES_small,1,886.37,49
AES_ct,1,1302.01,49
AES_big,1,222.83,50
AES_small,1,882.47,50
AES_ct,1,1302.66,50
AES_big,1,225.30,51
AES_small,1,894.08,51
AES_ct,1,1324.91,51
AES_big,1,223.50,52
AES_small,1,877.76,52
AES_ct,1,1313.15,52
AES_big,1,224.14,53
AES_small,1,884.75,53
AES_ct,1,1293.71,53
AES_big,1,217.34,54
AES_small,1,856.33,54
AES_ct,1,1329.16,54
AES_big,1,222.34,55
AES_small,1,878.14,55
AES_ct,1,1322.84,55
AES_big,1,218.04,56
AES_small,1,865.92,56
AES_ct,1,1279.73,56
AES_big,1,217.42,57
AES_small,1,855.51,57
AES_ct,1,1306.04,57
AES_big,1,217.30,58
AES_small,1,873.87,58
AES_ct,1,1315.52,58
AES_big,1,223.40,59
AES_small,1,872.99,59
AES_ct,1,1303.10,59
AES_big,1,223.50,60
AES_small,1,880.73,60
AES_ct,1,1300.11,60
AES_big,1,217.40,61
AES_small,1,872.75,61
