implementation,byte_value,time_ns,sample_id
Safe (PyCryptodome),1,3071.2,17
Vulnerable (Naive),1,15487.4,18
Safe (PyCryptodome),1,3858.0,18
Vulnerable (Naive),1,19942.8,19
Safe (PyCryptodome),1,2527.4,19
Vulnerable (Naive),1,28524.2,20
Safe (PyCryptodome),1,2697.6,20
Vulnerable (Naive),1,22016.0,21
Safe (PyCryptodome),1,2345.6,21
Vulnerable (Naive),1,13314.2,22
Safe (PyCryptodome),1,2311.2,22
Vulnerable (Naive),1,19757.0,23
Safe (PyCryptodome),1,7204.8,23
Vulnerable (Naive),1,38410.6,24
Safe (PyCryptodome),1,5699.6,24
Vulnerable (Naive),1,28202.8,25
Safe (PyCryptodome),1,5765.8,25
Vulnerable (Naive),1,20313.8,26
Safe (PyCryptodome),1,2881.2,26
Vulnerable (Naive),1,21319.6,27
Safe (PyCryptodome),1,2679.0,27
Vulnerable (Naive),1,14827.2,28
Safe (PyCryptodome),1,5620.6,28
Vulnerable (Naive),1,28993.4,29
Safe (PyCryptodome),1,6035.4,29
Vulnerable (Naive),1,30990.8,30
Safe (PyCryptodome),1,6213.8,30
Vulnerable (Naive),1,22040.6,31
Safe (PyCryptodome),1,5523.4,31
Vulnerable (Naive),1,27660.2,32
Safe (PyCryptodome),1,4400.4,32
Vulnerable (Naive),1,17781.2,33
Safe (PyCryptodome),1,2602.4,33
Vulnerable (Naive),1,13923.6,34
Safe (PyCryptodome),1,2736.2,34
Vulnerable (Naive),1,13337.4,35
Safe (PyCryptodome),1,2211.8,35
Vulnerable (Naive),1,33714.4,36
Safe (PyCryptodome),1,5840.2,36
Vulnerable (Naive),1,23820.8,37
Safe (PyCryptodome),1,3425.0,37
Vulnerable (Naive),1,13038.0,38
Safe (PyCryptodome),1,3296.0,38
Vulnerable (Naive),1,29863.4,39
Safe (PyCryptodome),1,7884.4,39
Vulnerable (Naive),1,28978.2,40
Safe (PyCryptodome),1,7866.2,40
Vulnerable (Naive),1,37439.0,41
Safe (PyCryptodome),1,6614.0,41
Vulnerable (Naive),1,35259.2,42
Safe (PyCryptodome),1,6208.0,42
Vulnerable (Naive),1,24397.4,43
Safe (PyCryptodome),1,3794.6,43
Vulnerable (Naive),1,35013.8,44
Safe (PyCryptodome),1,5756.4,44
Vulnerable (Naive),1,42784.0,45
Safe (PyCryptodome),1,5830.6,45
Vulnerable (Naive),1,32190.6,46
Safe (PyCryptodome),1,6223.6,46
Vulnerable (Naive),1,37878.4,47
Safe (PyCryptodome),1,5712.4,47
Vulnerable (Naive),1,36465.6,48
Safe (PyCryptodome),1,6717.0,48
Vulnerable (Naive),1,39401.2,49
Safe (PyCryptodome),1,6671.2,49
Vulnerable (Naive),2,33483.6,0
Safe (PyCryptodome),2,6711.0,0
Vulnerable (Naive),2,46522.6,1
Safe (PyCryptodome),2,5358.6,1
Vulnerable (Naive),2,31906.8,2
Safe (PyCryptodome),2,5130.6,2
Vulnerable (Naive),2,26539.6,3
Safe (PyCryptodome),2,4196.4,3
Vulnerable (Naive),2,24738.8,4
Safe (PyCryptodome),2,6550.0,4
Vulnerable (Naive),2,37328.6,5
Safe (PyCryptodome),2,6315.2,5
Vulnerable (Naive),2,30817.2,6
Safe (PyCryptodome),2,5312.6,6
Vulnerable (Naive),2,28631.0,7
Safe (PyCryptodome),2,6832.0,7
Vulnerable (Naive),2,37681.6,8
Safe (PyCryptodome),2,6214.4,8
Vulnerable (Naive),2,33688.4,9
Safe (PyCryptodome),2,6820.2,9
Vulnerable (Naive),2,33011.2,10
Safe (PyCryptodome),2,5685.0,10
Vulnerable (Naive),2,40401.0,11
Safe (PyCryptodome),2,6308.4,11
Vulnerable (Naive),2,37856.2,12
Safe (PyCryptodome),2,8166.2,12
Vulnerable (Naive),2,31506.8,13
Safe (PyCryptodome),2,4921.0,13
Vulnerable (Naive),2,31694.8,14
Safe (PyCryptodome),2,5943.2,14
Vulnerable (Naive),2,35038.6,15
Safe (PyCryptodome),2,6501.4,15
Vulnerable (Naive),2,33053.0,16
Safe (PyCryptodome),2,4810.0,16
Vulnerable (Naive),2,30230.6,17
Safe (PyCryptodome),2,5065.2,17
Vulnerable (Naive),2,27780.6,18
Safe (PyCryptodome),2,4478.4,18
Vulnerable (Naive),2,27700.0,19
Safe (PyCryptodome),2,4700.4,19
Vulnerable (Naive),2,39681.4,20
Safe (PyCryptodome),2,9254.4,20
Vulnerable (Naive),2,34985.4,21
Safe (PyCryptodome),2,6837.2,21
Vulnerable (Naive),2,32621.8,22
Safe (PyCryptodome),2,5499.4,22
Vulnerable (Naive),2,25201.4,23
Safe (PyCryptodome),2,2415.6,23
Vulnerable (Naive),2,19374.8,24
Safe (PyCryptodome),2,11109.8,24
Vulnerable (Naive),2,22157.0,25
Safe (PyCryptodome),2,2374.4,25
Vulnerable (Naive),2,13067.4,26
Safe (PyCryptodome),2,2491.8,26
Vulnerable (Naive),2,20943.4,27
Safe (PyCryptodome),2,5456.4,27
Vulnerable (Naive),2,32072.4,28
Safe (PyCryptodome),2,4844.8,28
Vulnerable (Naive),2,19645.6,29
Safe (PyCryptodome),2,2397.0,29
Vulnerable (Naive),2,13559.4,30
Safe (PyCryptodome),2,4213.0,30
Vulnerable (Naive),2,15155.0,31
Safe (PyCryptodome),2,4441.8,31
Vulnerable (Naive),2,26589.0,32
Safe (PyCryptodome),2,2988.2,32
Vulnerable (Naive),2,18555.0,33
Safe (PyCryptodome),2,7120.6,33
Vulnerable (Naive),2,16900.0,34
Safe (PyCryptodome),2,2809.8,34
Vulnerable (Naive),2,15961.0,35
Safe (PyCryptodome),2,2751.2,35
Vulnerable (Naive),2,18405.2,36
Safe (PyCryptodome),2,5925.2,36
Vulnerable (Naive),2,30786.8,37
