implementation,byte_value,time_ns,sample_id
Vulnerable (Naive),0,12266.6,44
Safe Toy (CT SBox),0,47296.4,44
Safe (PyCryptodome),0,2610.2,44
Vulnerable (Naive),0,11525.2,45
Safe Toy (CT SBox),0,51773.6,45
Safe (PyCryptodome),0,3880.8,45
Vulnerable (Naive),0,15892.8,46
Safe Toy (CT SBox),0,58356.2,46
Safe (PyCryptodome),0,2782.8,46
Vulnerable (Naive),0,12936.8,47
Safe Toy (CT SBox),0,50921.6,47
Safe (PyCryptodome),0,2508.8,47
Vulnerable (Naive),0,10653.8,48
Safe Toy (CT SBox),0,51872.6,48
Safe (PyCryptodome),0,2575.6,48
Vulnerable (Naive),0,15318.2,49
Safe Toy (CT SBox),0,50369.2,49
Safe (PyCryptodome),0,2310.2,49
Vulnerable (Naive),1,10706.6,0
Safe Toy (CT SBox),1,52408.6,0
Safe (PyCryptodome),1,2918.8,0
Vulnerable (Naive),1,13482.2,1
Safe Toy (CT SBox),1,49383.2,1
Safe (PyCryptodome),1,2823.4,1
Vulnerable (Naive),1,12235.6,2
Safe Toy (CT SBox),1,71486.0,2
Safe (PyCryptodome),1,3124.6,2
Vulnerable (Naive),1,11446.4,3
Safe Toy (CT SBox),1,48012.4,3
Safe (PyCryptodome),1,3004.8,3
Vulnerable (Naive),1,11069.6,4
Safe Toy (CT SBox),1,53944.0,4
Safe (PyCryptodome),1,2791.6,4
Vulnerable (Naive),1,11876.8,5
Safe Toy (CT SBox),1,48657.4,5
Safe (PyCryptodome),1,3023.4,5
Vulnerable (Naive),1,14736.4,6
Safe Toy (CT SBox),1,49191.8,6
Safe (PyCryptodome),1,4750.6,6
Vulnerable (Naive),1,11061.0,7
Safe Toy (CT SBox),1,51828.0,7
Safe (PyCryptodome),1,3723.6,7
Vulnerable (Naive),1,10792.8,8
Safe Toy (CT SBox),1,48748.4,8
Safe (PyCryptodome),1,2883.2,8
Vulnerable (Naive),1,10864.8,9
Safe Toy (CT SBox),1,50366.2,9
Safe (PyCryptodome),1,2650.2,9
Vulnerable (Naive),1,13423.8,10
Safe Toy (CT SBox),1,52055.6,10
Safe (PyCryptodome),1,2680.0,10
Vulnerable (Naive),1,10128.2,11
Safe Toy (CT SBox),1,49333.0,11
Safe (PyCryptodome),1,2876.4,11
Vulnerable (Naive),1,11168.0,12
Safe Toy (CT SBox),1,48080.4,12
Safe (PyCryptodome),1,2728.4,12
Vulnerable (Naive),1,11158.6,13
Safe Toy (CT SBox),1,47184.8,13
Safe (PyCryptodome),1,3630.0,13
Vulnerable (Naive),1,14353.0,14
Safe Toy (CT SBox),1,59927.8,14
Safe (PyCryptodome),1,2557.0,14
Vulnerable (Naive),1,15335.6,15
Safe Toy (CT SBox),1,54309.8,15
Safe (PyCryptodome),1,2694.6,15
Vulnerable (Naive),1,10731.2,16
Safe Toy (CT SBox),1,49663.2,16
Safe (PyCryptodome),1,2382.0,16
Vulnerable (Naive),1,9790.4,17
Safe Toy (CT SBox),1,44779.2,17
Safe (PyCryptodome),1,2283.6,17
