implementation,byte_value,time_ns,sample_id
Precomputed_SBox,1,16.20,27
Algebraic_SBox,1,21.40,27
Precomputed_SBox,1,16.20,28
Algebraic_SBox,1,21.20,28
Precomputed_SBox,1,16.40,29
Algebraic_SBox,1,21.20,29
Precomputed_SBox,1,23.80,30
Algebraic_SBox,1,21.20,30
Precomputed_SBox,1,55.80,31
Algebraic_SBox,1,21.40,31
Precomputed_SBox,1,16.20,32
Algebraic_SBox,1,21.40,32
Precomputed_SBox,1,16.20,33
Algebraic_SBox,1,21.40,33
Precomputed_SBox,1,16.00,34
Algebraic_SBox,1,21.20,34
Precomputed_SBox,1,16.20,35
Algebraic_SBox,1,21.80,35
Precomputed_SBox,1,16.20,36
Algebraic_SBox,1,21.40,36
Precomputed_SBox,1,16.20,37
Algebraic_SBox,1,21.20,37
Precomputed_SBox,1,16.20,38
Algebraic_SBox,1,21.20,38
Precomputed_SBox,1,16.40,39
Algebraic_SBox,1,21.20,39
Precomputed_SBox,1,16.40,40
Algebraic_SBox,1,21.20,40
Precomputed_SBox,1,16.40,41
Algebraic_SBox,1,21.20,41
Precomputed_SBox,1,16.20,42
Algebraic_SBox,1,21.20,42
Precomputed_SBox,1,16.20,43
Algebraic_SBox,1,21.20,43
Precomputed_SBox,1,16.20,44
Algebraic_SBox,1,21.40,44
Precomputed_SBox,1,16.60,45
Algebraic_SBox,1,21.60,45
Precomputed_SBox,1,16.40,46
Algebraic_SBox,1,21.60,46
Precomputed_SBox,1,16.60,47
Algebraic_SBox,1,21.60,47
Precomputed_SBox,1,16.60,48
Algebraic_SBox,1,21.60,48
Precomputed_SBox,1,16.40,49
Algebraic_SBox,1,21.60,49
Precomputed_SBox,2,16.40,0
Algebraic_SBox,2,21.60,0
Precomputed_SBox,2,16.60,1
Algebraic_SBox,2,21.60,1
Precomputed_SBox,2,16.40,2
Algebraic_SBox,2,21.60,2
Precomputed_SBox,2,16.60,3
Algebraic_SBox,2,21.60,3
Precomputed_SBox,2,16.60,4
Algebraic_SBox,2,21.60,4
Precomputed_SBox,2,16.40,5
Algebraic_SBox,2,21.60,5
Precomputed_SBox,2,16.60,6
Algebraic_SBox,2,21.80,6
Precomputed_SBox,2,16.40,7
Algebraic_SBox,2,21.80,7
Precomputed_SBox,2,16.40,8
Algebraic_SBox,2,21.80,8
Precomputed_SBox,2,16.40,9
Algebraic_SBox,2,21.60,9
Precomputed_SBox,2,16.60,10
Algebraic_SBox,2,21.80,10
Precomputed_SBox,2,16.60,11
Algebraic_SBox,2,21.60,11
Precomputed_SBox,2,16.40,12
Algebraic_SBox,2,21.80,12
Precomputed_SBox,2,16.60,13
Algebraic_SBox,2,21.60,13
Precomputed_SBox,2,16.60,14
Algebraic_SBox,2,21.60,14
Precomputed_SBox,2,16.40,15
Algebraic_SBox,2,21.60,15
Precomputed_SBox,2,16.40,16
Algebraic_SBox,2,21.60,16
Precomputed_SBox,2,16.40,17
Algebraic_SBox,2,21.80,17
Precomputed_SBox,2,16.40,18
Algebraic_SBox,2,21.80,18
Precomputed_SBox,2,16.40,19
Algebraic_SBox,2,21.80,19
Precomputed_SBox,2,16.40,20
Algebraic_SBox,2,21.60,20
Precomputed_SBox,2,16.40,21
Algebraic_SBox,2,21.60,21
Precomputed_SBox,2,16.60,22
Algebraic_SBox,2,21.80,22
Precomputed_SBox,2,16.80,23
Algebraic_SBox,2,21.80,23
Precomputed_SBox,2,21.60,24
Algebraic_SBox,2,21.40,24
Precomputed_SBox,2,16.60,25
Algebraic_SBox,2,21.40,25
Precomputed_SBox,2,16.40,26
Algebraic_SBox,2,21.20,26
Precomputed_SBox,2,16.40,27
Algebraic_SBox,2,21.40,27
Precomputed_SBox,2,16.20,28
Algebraic_SBox,2,35.60,28
Precomputed_SBox,2,16.20,29
Algebraic_SBox,2,34.00,29
Precomputed_SBox,2,16.20,30
Algebraic_SBox,2,21.40,30
Precomputed_SBox,2,33.80,31
Algebraic_SBox,2,26.00,31
Precomputed_SBox,2,16.20,32
Algebraic_SBox,2,21.40,32
Precomputed_SBox,2,16.40,33
Algebraic_SBox,2,21.40,33
Precomputed_SBox,2,17.20,34
Algebraic_SBox,2,21.40,34
Precomputed_SBox,2,17.20,35
Algebraic_SBox,2,21.40,35
Precomputed_SBox,2,17.20,36
Algebraic_SBox,2,21.40,36
Precomputed_SBox,2,17.20,37
